,success,runtime_s,mle,mle_x,rmsd_mle,rmsd_x,rmsd_mle_mean,rmsd_x_mean,rmsd_mle_std,rmsd_x_std,dt_mean
Nelder-Mead,"[True, True, False, False, True, True, True, False, True, False]","[13.176164150238037, 19.218748092651367, 2678.754813194275, 3611.987963914871, 22.7369601726532, 8.801563024520874, 46.45906114578247, 1754.9860401153564, 28.089768886566162, 795.4311699867249]","[9129.887928325992, 9617.417915365755, -61287.311091612544, 10156.140258701844, 8628.02230870616, 7353.363373284329, 10014.617233091962, -1647.4003106805903, 8043.335016214645, -4577.480016259572]","[[11.22796913358203, 3.16297371991888, 3.9999884505465864, 2.9533945507599633, 5.296657410741326, 4.296259506482657, 4.824819016691561, 7.354434601810297, 0.03187997580009418, 2.19894887630676, 4.6591507952167195, 6.045792078214565, 0.6061612137533957, 4.546206915248692, -9.301029995663981], [7.81494119578931, -0.9999825001108571, 0.6011340568126169, 3.3550589436385105, 8.87904218272719, 4.932118364155132, 2.8909078397163412, 8.217380347740882, 3.6736916717329864, 2.328295724870436, 1.2319278857000833, 8.623327417927497, -0.8005159691600754, 3.4043769885715274, -9.301029995663981], [8.616362890571995, 1.1931269250036678, -0.2895227088831707, -1.2239968127461274, 5.949039062096178, -0.583269318026806, 2.279064771254944, 11.846160172630958, -1.9795768585007738, 1.9991394595420267, 4.265702075852117, 6.476702428321686, 3.978191988403481, 7.992788614520976, -9.301029995663981], [6.5286184392213755, 1.2998772156072795, 3.9308457364818494, 3.085777817756277, 8.999999915207303, 4.242730025687214, 0.770352616101365, 7.743369576990992, 2.0007315217184845, 1.973679295482165, 0.8927029996133234, 11.952958958450555, 0.27734620741202365, 5.961723729720584, -9.301037295380151], [11.881424703198142, 4.892001355770692, 0.7733090838970077, 3.9880439203615268, 6.987495749105779, 4.189435220467432, 4.8879316359532385, 7.535359673677505, 1.3004131513407189, 2.058049853831017, 3.754709223526674, 10.573949714097058, 2.618751508444722, 5.437916073208019, -9.304397137908268], [11.143198384457403, 3.4082025529081283, -1.146383427109896, 0.6892556888505545, 7.872495122047312, 4.618046312944921, 4.663144646835278, 10.394920615919535, 1.9548676207261586, 1.611688002765078, 4.871108912915872, 11.99406232006848, 1.4806575386264917, 5.192963985601509, -9.301029995663981], [9.211801467161953, 4.8885297646672985, 3.2321975162572625, 2.281126969717507, 5.116842374543981, 1.2335454728568904, -0.9999915682560624, 8.05833686828746, 3.9999930797673904, 3.9999552677262056, -0.9711275638852359, 11.967172492281085, 0.6626519890215091, 3.4875623267005276, -9.301029995663981], [11.815618599301981, 4.8724003000457365, 0.1373589263105885, 2.2019420723944183, 7.815744446001914, 4.879307476925978, 4.342472268133447, 9.03736776177117, -0.03392334708403567, 0.07164003183473075, 0.24107652958223064, 11.97838548825559, 4.462688978776008, 5.464243527961234, -9.301029995663981], [11.074562698686144, 4.380428077429924, 4.0, 3.9998669741142674, 4.296328192209671, 4.999742291332199, 3.7725693920251757, 6.000007678489169, 0.2639706047231196, -0.12403942060780128, -0.9999997169498798, 6.227227833744701, 5.0, 6.058561466284276, -9.301029995663981], [6.0, -0.9983463499950653, -1.4968109621956815, 2.744383861953087, 8.972192777185171, 3.3303502731627503, 2.569351506802467, 11.757849494833607, 3.996181687396941, 0.5003348061737521, 5.0, 11.941220919466446, 4.667006562446302, 8.833944792741477, -9.301029995663981]]","[1586.7709701199237, 1099.2409830801607, 72003.96999005845, 560.5186397440721, 2088.6365897397554, 3363.2955251615867, 702.0416653539542, 12364.059209126506, 2673.3238822312705, 15294.138914705487]","[1.9303846152473103, 2.1727429868276853, 2.175184476947561, 1.8742273938222513, 1.3684853757899822, 1.4851518707173368, 2.2825448594143642, 1.6654597888459028, 2.339506525651617, 2.201145694529679]",11173.599636932116,1.949483358779369,20857.16444726514,0.3266539176228806,897.964225268364
Powell,"[True, True, True, True, True, True, True, True, True, True]","[1.9334650039672852, 1.9529309272766113, 2.877897262573242, 10.571576833724976, 1.5569097995758057, 1.3699328899383545, 9.745645999908447, 9.514672040939331, 3.9951417446136475, 23.26358914375305]","[-9277.37464134712, -2531.8123855925564, 4259.094427739394, -1582.188021132441, -19360.261629114975, -210645.49375277077, 7163.561384896333, 6482.890425018486, -5966.174632583806, 10465.780209464307]","[[7.718117462068957, 3.7267232937541284, 3.399669512330704, 1.7374674127062801, 6.8586440803560675, 3.852663478076854, 1.436956303879675, 9.450258927383905, 0.2581921521292354, -0.059562315638838514, 1.593802111245276, 11.995510551370502, 0.06679659676114064, 4.655772327153999, -9.301078510625318], [11.999210755139575, 3.477287980958402, 1.6112433294675814, -0.4318782966821052, 6.536074830071566, 4.9832357570950085, 1.9538899491065396, 8.829258329480739, 2.4355732889940436, 0.11281518805451762, -0.99993972612193, 9.29845204265981, 1.2259489315089551, 7.988028486519397, -9.301078604133412], [11.259006809259974, 1.1998572265499896, -0.21527229469797873, 3.4037458596738195, 5.56291966853154, 1.1139648561846396, 4.932150750073709, 10.709239390669493, 2.1826887971137983, 0.304466146354953, 3.511722851223135, 8.982525480570057, 4.16711335040122, 7.5824653880681945, -9.309363582838511], [11.764110863673173, 3.6428245555562615, 0.044730701327394734, 3.999942942025294, 7.443469842886682, 0.0925764577832783, 1.4584937324892078, 10.187332715060895, 2.6594910859160477, 2.453647866130819, 4.971008236377254, 10.236643394412479, -0.9887397243954816, 4.318086289600583, -9.301030620171328], [8.62482793492993, 2.5942963024597145, 0.5391081272365672, 1.6412848788500622, 4.7800575583428655, 2.1064678901178286, 1.7576383114705718, 8.153780191556175, 2.371071294874685, 2.694513135461185, -0.9999558988198275, 8.66750609858498, 1.4060155189205354, 6.352360319343788, -9.301078450514625], [11.40737370914315, 4.334281079257945, 1.8117723082795982, 0.9370506566783035, 7.524864936763384, 3.38068831793443, 2.9401529900627597, 6.541976466659238, -0.6198485531051252, 3.3247620740535537, 1.5119238873366365, 7.639106118388369, 2.4008430535792957, 3.3442981497642377, -9.542794892895603], [8.012166274705718, 2.5505650085206053, 2.4783123656071044, 2.7446132874845848, 7.529927975816445, 2.598433797265434, 1.4885362656253598, 10.228951192688083, 2.099758176728904, 0.5082956812362356, 3.535068184355916, 8.994210543181241, 1.0267620831891335, 5.44283611365963, -9.301070326992509], [11.642354595580722, 4.929651639212084, 2.1154553689708138, 2.8569441072282227, 6.749171374182693, 1.0394248215898423, 3.6805208541445684, 9.746040136244579, 2.917806519290292, 3.66930500050531, 1.9536096176692663, 7.388076756572215, 0.7929175831305215, 7.075753485614448, -9.30107927376341], [9.583984169336457, 2.5400250863263065, 3.602204754026378, 2.2867419082803635, 5.368250761344889, 2.444764396253596, 2.6838241081289826, 9.941402107698082, 0.27444332949160133, -1.5424202886480998, -0.4127554495129848, 11.85771606055038, 0.7466805375240172, 5.9171206093777355, -9.340043087629875], [9.19223987561263, 1.1210913464036865, 2.4262101534169855, 2.138125726942086, 6.271375477808274, 2.514320778475776, 2.9840500739202906, 10.41347949711838, 2.03822460859875, 1.7240015001297178, 3.8149942154519714, 10.224553349752432, 0.023015325216117467, 3.8847415259506195, -9.76871332365557]]","[19994.033539793036, 13248.471284038473, 6457.564470706522, 12298.846919578356, 30076.92052756089, 221362.1526512167, 3553.097513549583, 4233.76847342743, 16682.833531029723, 250.87868898160923]","[1.614066775169634, 1.668493746729694, 1.3649377149930118, 1.836339384033866, 1.567185462921976, 1.7822679549876101, 1.0971387191703954, 1.3787532268172509, 1.7013354694596898, 1.2841222258828413]",32815.85675998822,1.529464068016597,63414.66198052944,0.22636526279168628,6.678176164627075
CG,"[False, False, False, True, False, False, False, False, True, False]","[0.2966318130493164, 0.37987399101257324, 2.5009329319000244, 0.5087649822235107, 1.6483550071716309, 1.8886752128601074, 2.903243064880371, 1.1344759464263916, 0.6163291931152344, 0.3882029056549072]","[3908.238105135835, 450.99687288728137, -125307.53669830394, 8514.217825856475, 8514.217825869031, 8514.565576333898, 8789.206364975784, -63531.769605445945, 8514.217826272456, -53025.651363373414]","[[6.677625682339043, 3.2429946150492768, 3.7833579660226357, 1.1548985597941486, 4.187739503287487, 3.3889734351957133, 3.9086224033223513, 8.696994452861277, 0.0765911528285773, 3.445709477109397, 4.511595073214675, 8.400739687210827, 0.8924046709375599, 4.778228509116909, -3.821118650245751], [11.294432678695172, 1.482091389813175, 1.8752618937193697, 2.6201728247923235, 5.143541483580671, 4.9830273618271335, 1.9252478014507113, 8.597625607161012, 2.412491232880224, 3.030758123407868, 1.7697976395155277, 9.001673487464469, -0.9885007144204118, 7.988593243246864, -8.856080298810454], [8.586931947669495, 1.1666471431377257, -0.28105790676367487, -1.2328932186962973, 6.284787407326173, -0.5861451205452792, 2.308498784543921, 11.466307283086675, -1.9604261110514838, 1.9853228764395845, 4.0570820998231625, 6.406878364371065, 4.043419979459121, 7.597253266369479, -9.440191894360096], [4.014743813839569, 1.2881537261420364, -3.334181198000954, -1.2727214039841241, 6.1130489300785396, -12.818382025174229, -1.2205865794247417, 0.8481245803258559, 0.2670655685055078, -8.945188092184798, -10.53862584767224, 7.78722014304221, -2.059073922281425, -2.2190552105877783, -8.071232762214168], [6.855317567651346, 6.536448069980648, 3.135700946259242, -2.2507602837185394, 5.031423572896291, -3.144844057772431, 2.0789329918780237, 4.000009580840053, -2.4196813541718005, 4.711830711895924, 2.521960814913942, 2.837444749950088, 0.8544437930834027, 5.328152554972324, -8.07123224127796], [6.43093174892099, 2.8788841950109654, 3.0922958454452725, -1.225360060030044, 7.023307603620707, 3.6791149707265385, 1.4729068437610646, 5.847056849581025, 0.2496597665428932, 1.380704244046864, 2.498185113649374, 7.49043130730601, 3.4573751683058984, 2.329026330950151, -8.07079458124197], [11.407938674162324, 4.3351192791188105, 3.018624816154887, 3.220600178489174, 4.579925660303306, 2.5886261773222237, 0.9593982450100358, 7.160036507642871, 2.9912722589075744, 0.40145339022560916, -0.13954484249857754, 11.859418513253713, 1.8698520117685458, 6.377232138385969, -8.307135934277955], [9.27664413281464, 0.5343476372011353, 0.4413908137855513, 0.37569316261441593, 6.760799694436315, 1.0313717370547377, 4.982982899563966, 9.768467699275176, -0.8095989238128016, -0.6547721981334831, 2.29234687402481, 9.64253660033374, 3.1603497149168103, 6.095208714674451, -9.307698959149917], [7.489830553872753, -0.20699341193182158, -0.5978323422278811, 1.71568188483294, 3.019153627631592, 2.8927444174912367, -0.7803932418055529, 8.30676672457977, -0.564526369272034, -1.5766769963552192, 0.24718386516789534, 7.730432574868864, 0.31295672046288736, 5.660048415062939, -8.071232792198401], [10.552338080114177, -0.29924416922981095, -1.7860796065006261, -0.7757355960532406, 8.176797149191813, 0.46726905971956734, 4.033529730071834, 10.288598500069218, 3.9029740619546107, 0.15430043354587603, 3.2458644891919395, 10.77307435088458, 4.506080073462653, 8.751314716846213, -9.274234178968609]]","[6808.420793310081, 10265.662025558635, 136024.19559674987, 2202.4410725894413, 2202.441072576885, 2202.0933221120176, 1927.452533470132, 74248.42850389186, 2202.4410721734603, 63742.31026181933]","[2.3631086756403437, 1.5666744021457888, 2.136740859340587, 7.553331760343694, 3.739642424319713, 2.3113582966905817, 1.7498713574372697, 1.5595451813461607, 2.59828843961774, 1.9274918693041727]",30182.588625425175,2.7506053266186052,43753.24150055701,1.7113386032041666,1.2265485048294067
BFGS,"[False, False, False, False, False, False, False, False, False, False]","[2.8238210678100586, 0.31676578521728516, 3.309760093688965, 2.5223231315612793, 2.01986026763916, 0.35893917083740234, 4.2961342334747314, 2.3874430656433105, 0.505134105682373, 0.34963417053222656]","[2500.2856513844563, 980.4123839975618, -125307.52396881585, -1688091.7090987621, 8508.612588558968, 8478.543201479346, 8795.359267766264, -63531.46742972387, 7382.156072393462, -13802.240028831262]","[[6.907723760368858, 2.884990358669929, 3.4421307274149155, 1.513288575567135, 4.921496354117229, 4.900607058745718, 4.623906082020181, 9.320365662034776, 0.1621698581607115, 0.18933781090585622, 6.1966047435492655, 8.581838536892576, -1.900526164045949, 3.0682602923850153, -9.077839704744667], [11.203462158366827, -10.100467952757347, -3.6390357236718254, -1.3109695632061187, 8.513375646261961, -0.1348262541402736, 1.8642877837808485, 5.0151532299041826, 1.0769553527652715, 1.2761629259681933, 1.460292163711451, 9.134739305329328, -0.8484636330987558, -1.5931367015941191, -8.842842271629873], [8.586931947645747, 1.1666471431095506, -0.28105790675051584, -1.232893218702187, 6.284787407310665, -0.5861451205653078, 2.3084987845373592, 11.466307283067252, -1.9604261110744414, 1.9853228764233297, 4.057082099796377, 6.406878364351782, 4.043419979439124, 7.597253266423739, -9.44019189435515], [7.829851916837472, 3.0886567118053643, 0.913583168334812, 2.955788539144231, 8.324510242083463, -0.35877405372184185, -0.7436009063781099, 10.641633570573683, 2.27634606899015, -1.2733068301822141, -1.0910681706506091, 10.918996238582674, -0.14662854659270697, 4.908483024744193, -9.989773861161826], [6.1125327283296516, 6.80847240955831, 2.7048889931507523, -2.980472312375026, 5.001256701033569, -3.943876489551638, 1.5365163455325836, 3.8768812889301314, -2.470177358696971, 3.735572463518119, 3.5868305583562967, 6.313095728671517, 0.621700742655083, 4.904314918951627, -8.023369236027637], [-51.952418781826516, -32.77535908909164, -29.63398536406516, -44.858170708094974, -44.00604721753018, -85.1006523940914, -103.39558447714647, -72.01618967890225, 1.575666532951181, -72.5342010460859, -82.1404588129386, -25.075670775167463, -81.69211243937445, -46.117116403940315, -8.178159769106026], [12.388173548286373, 5.8775154994304755, 2.4585486376278745, 2.8825780064838975, 3.7080539477568846, 0.8694119331130423, 2.4733078793824905, 8.204216451245859, 1.122819164143242, 0.35364471558185273, 1.460693910163659, 11.069999958901121, 3.1139396598571403, 5.941012495176146, -8.357963313117722], [9.276644132433177, 0.5343476367005937, 0.44139081353973797, 0.3756931630823631, 6.7607996939332855, 1.031371736614274, 4.982982899351803, 9.768467698886754, -0.8095989239465928, -0.654772198243545, 2.2923468736727193, 9.642536600797635, 3.160349714317284, 6.0952087155484405, -9.307698959142003], [5.049714263539702, -3.8270101173839604, 4.207894584200089, -2.2489363596369696, 7.7072947772764095, -2.330126535200976, 2.467708129064889, 0.8953271742860411, 1.5202978801134153, 0.45745871567105223, 2.1302872709288767, 8.49998847391349, -2.2626028972392507, 6.648764151487567, -8.51140627331885], [10.507539916744186, 3.647151410314386, 3.0197596845053187, -0.6516184276798491, 8.897864576688804, 1.0085846818017417, 8.798606813218491, 11.433530812466731, 8.482794585582804, 0.9825557242344323, 7.091536584606742, 11.272810346573896, 4.6275363822820506, 8.497249562239226, -9.061337483649103]]","[8216.37324706146, 9736.246514448354, 136024.18286726176, 1698808.3679972081, 2208.0463098869477, 2238.11569696657, 1921.2996306796522, 74248.12632816978, 3334.502826052454, 24518.89892727718]","[2.3399883395429284, 4.820614197908905, 2.1367408593493122, 2.264527685107611, 3.6299972687016457, 63.64307866621548, 1.7258090461470306, 1.5595451814171117, 4.014812748532061, 2.818842822179164]",196125.41603450122,8.895395681510125,502603.38441360544,18.276270153092135,1.8889815092086792
L-BFGS-B,"[True, False, True, False, False, True, True, True, True, True]","[0.06140494346618652, 1.9109890460968018, 1.3039212226867676, 10.233876943588257, 1.051455020904541, 0.08014059066772461, 0.09919500350952148, 1.3790218830108643, 0.06657528877258301, 4.1429760456085205]","[-61290.4723236625, -61555.28159631912, -55503.174401372, -31173.25514371496, -29821.356529503733, -61288.40485588343, -61290.459825973136, -63531.196916043555, -61290.47233234381, -51062.49067123585]","[[12.0, -1.0, 4.0, 4.0, 9.0, -1.0, 5.0, 6.0, 4.0, 4.0, 5.0, 12.0, 5.0, 3.0, -9.301029995663981], [6.185612820335357, 1.6140195363172396, -2.0, -2.0, 3.0000004619594356, -1.0, 4.999999474232047, 12.0, -1.9999997097498297, 4.0, -1.0, 12.0, 5.0, 3.000000589414664, -9.301029995663981], [6.35513611246578, -0.6924953262453136, -0.4175320651804238, 0.3102542400132903, 3.0, 0.3249523481723533, -0.29958008544298653, 6.0, -1.9999999995206768, 3.9999999997441593, -0.8693697384547852, 10.432056356671273, -1.0, 3.0, -9.301029995663981], [7.4269740210026125, 3.3515265238736873, 1.8205034160215439, 3.4839265404478335, 6.493630703398288, -0.08499963086309133, -0.43053000060313174, 9.615751885017657, 2.5212415621914612, -1.2762348627235438, -0.6572121575137164, 9.535147353924163, -0.6046487884635771, 4.861226104012369, -9.301029995663981], [6.0, -1.0, 4.0, 4.0, 3.0, 5.0, 5.0, 12.0, 4.0, 4.0, 5.0, 12.0, 5.0, 3.0, -9.301029995663981], [6.0, 4.999998724388194, 4.0, 4.0, 9.0, 4.999996475371025, -0.9999960300259346, 12.0, 4.0, -1.9999991887465738, 5.0, 12.0, 4.999997692778841, 9.0, -9.301029995663981], [11.999998368767569, 5.0, 3.999999123567069, 3.9999996246718954, 8.999996028077366, -0.9999958601663785, 4.999997507199202, 6.000001342374082, -1.9999962664942077, 3.999997893488073, -0.9999981241306576, 6.0, 4.999994971040028, 3.0000043466995754, -9.301029995663981], [9.27663925349844, 0.5343484361944904, 0.4413897112469702, 0.3756934945307363, 6.7607961655042965, 1.0313759895489598, 4.982980593955453, 9.768468016960307, -0.8095948894845391, -0.6547704671241645, 2.292344664085599, 9.642537531911168, 3.1603503767101064, 6.095209540326093, -9.307698996323914], [12.0, 5.0, -2.0, 4.0, 3.0, 5.0, -1.0, 12.0, -2.0, -2.0, -1.0, 12.0, -1.0, 3.0, -9.301029995663981], [7.867723368626928, -0.9335677666415315, 0.05095002309378989, 0.6393351481075297, 3.000000000015129, -0.3078000210971403, 0.827991044584122, 7.400215557696153, -2.0, -0.1752927886710033, 0.7474876263061564, 10.293384288284722, 1.502791234702969, 3.412493451875978, -9.301029995663981]]","[72007.13122210841, 72271.94049476503, 66219.83329981792, 41889.914042160875, 40538.01542794965, 72005.06375432934, 72007.11872441905, 74247.85581448948, 72007.13123078973, 61779.149569681766]","[2.6392998953884406, 3.1512858500723873, 3.1969737682447645, 2.2109003896657407, 2.6392998953884406, 2.4831229314088823, 2.9267543983971684, 1.559544121195249, 3.1884014706114776, 2.653048411730582]",64497.31535805112,2.6648631132103135,12151.436447012855,0.4821531448207103,2.032955598831177
TNC,"[True, True, True, False, True, True, True, True, True, True]","[2.2096951007843018, 2.0154199600219727, 2.450767755508423, 4.789504051208496, 1.7347230911254883, 2.0810539722442627, 3.2451210021972656, 2.109541893005371, 2.9257469177246094, 0.9129321575164795]","[-5134.72315140257, -879.71110053707, -125307.52574144135, -60429.62666274025, -53542.568082363534, -61288.969571553724, -27008.114434420982, -63529.258910419805, -61297.2566751148, -61290.46829942474]","[[6.791118747899038, 4.204660350713295, 3.3000331231571667, 2.8312079663498295, 4.402059020307183, 3.1873026255268035, 3.762260521702463, 7.8402796599078535, -1.5745891433801615, 3.364622866556294, 3.9761361626130807, 7.70977250660325, 0.7375323798892714, 4.278082815169017, -9.301029995663981], [10.46566724434121, 0.6546658125332916, 2.1962724524631483, 1.2703227659631264, 6.854108743713281, 3.4147457911367014, 2.893718781264955, 7.352185221460168, 2.294782607425364, 2.3444382263650834, 0.9676915441616911, 8.24108599796852, -0.5633171754299933, 6.869536378558566, -9.301029995663981], [8.5869319582491, 1.1666471314111253, -0.28105791326654184, -1.2328930098913364, 6.284787404046714, -0.586145131588435, 2.308498777715393, 11.466307292657186, -1.9604261702994137, 1.9853228834217171, 4.057082090986555, 6.406878370991224, 4.043419978042415, 7.597253254400101, -9.440191895636268], [7.865890733226048, 3.063700235621795, 1.226093168317444, 3.349569730591586, 8.500407689657795, -0.2724064916531015, -0.5436512601189474, 10.873990905250214, 2.165002800983249, -1.0015495701972994, -0.49014657148406515, 11.129744183705252, -0.27778814459319356, 5.26159835485054, -9.301029995663981], [9.957236223065095, 2.481155345747169, -0.8545775913971894, 1.8518275995368945, 5.820644584923121, 1.597165454121257, 1.280077097601846, 7.8348740905192145, 0.7808050627181776, 2.736598715220956, 1.022403319640687, 6.643703178737617, 2.3356756645381562, 3.627084743199863, -9.301029995663981], [7.5457591246987015, 4.025478030322661, 3.4017486181164736, -1.9684735497811854, 7.521928814888434, 3.3418393448487027, 2.9017697551529826, 6.279113477544844, 1.127729542609358, 1.3523820723353681, 2.7560115084739314, 8.57155502994301, 3.239771987996298, 3.527437657555195, -9.301029995663981], [11.435204090332538, 4.383793892238341, 3.303581015349563, 2.8944105175514534, 5.677294804191067, 2.123588027460329, 1.2437164083012282, 7.057782405470091, 3.0098493173432903, 0.4544265694664611, -0.03161376439818975, 11.806685649621977, 2.04058685229165, 6.166520459826346, -9.301029995663981], [9.276632140595527, 0.5343402259607806, 0.44139439043539663, 0.37569097180812416, 6.760789685879968, 1.0313657682628217, 4.982974598246217, 9.768470607392002, -0.8096041825700455, -0.6547749675482482, 2.292328291693796, 9.64254336117736, 3.160344981491439, 6.095208491848094, -9.307698994654743], [7.0040916399135895, -0.6446745101812947, -0.1894903807476127, 1.2727863829059598, 3.4329888024355752, 2.4725736942926173, -0.3512173010045716, 7.098294688397358, -0.27804718329787126, -1.572391731290331, 0.4432118424933096, 7.470844244829882, 0.311028320555341, 5.665402806742243, -9.301029995663981], [10.31886074988264, -0.4838215432773012, -1.8378011597311792, -0.8207747720342811, 7.867507097189195, 0.08389353401267297, 4.025820039099138, 10.247788956691116, 3.8019499762520494, 0.1890595199672559, 3.261098864380205, 10.517414389681228, 4.219178884594609, 8.779147128055184, -9.301029995663981]]","[15851.382049848486, 11596.369998982986, 136024.18463988727, 71146.28556118617, 64259.22698080945, 72005.62846999965, 37724.7733328669, 74245.91780886572, 72013.91557356072, 72007.12719787066]","[2.0002158177657643, 1.5085601749900055, 2.136740846832967, 2.160376624378263, 1.8066063935430152, 1.91341724898621, 1.6062362235579601, 1.5595474991371285, 2.589976564377621, 1.9544285526867031]",62687.4811613878,1.9236105946255642,33576.20577716332,0.31171678439875283,2.447450590133667
COBYLA,"[False, False, True, False, False, False, False, True, True, True]","[2.912856101989746, 2.83811092376709, 1.155803918838501, 3.444917917251587, 2.8471298217773438, 2.091153860092163, 3.3895838260650635, 0.5431427955627441, 0.40842199325561523, 0.8105819225311279]","[9417.327707686061, 9332.457216825758, 8516.718416737736, 10135.046208211641, 8960.955562704417, 8899.95410272291, 8789.744860037867, 8585.068549597283, 8514.217802274967, 8900.357329429602]","[[8.459761614996276, 3.012401578235032, 3.7143705360558394, 2.9644536687258114, 5.778263952577807, 3.591596630117355, 3.69636757209273, 8.179358457682156, 1.5923286056346324, 4.238512033966009, 4.839613881364833, 8.378846143899796, 0.956895971135309, 5.638082195060009, -8.85452793428551], [11.748075197429126, 3.8422117910996363, 2.7875771232794397, 2.073643831738768, 6.469661305986977, 4.8595545983840776, 3.2615645681131684, 8.659368233317789, 4.012806864993258, 2.5918894277464686, 3.0265120031899655, 9.911306708170127, 0.7507337456180619, 7.769032882016415, -8.787353683805067], [8.38161065848262, 1.973272327921243, -0.08239285593648012, 0.18409469086963284, 5.401143149849433, 0.7098809211944361, 2.503928808784532, 12.654834487438382, -2.595786124117544, 2.6092362747240423, 3.8166801423637673, 6.086815282586854, 5.257589985827176, 7.472712340307136, -8.073273852665166], [9.21802140379621, 2.6081963458670123, 1.9012897720923063, 5.154096058526013, 7.7131339960542995, 0.7281546806956736, 1.146794752030371, 9.528283349789028, 2.0532060705009667, 1.0146842038632014, -1.0678739445170695, 10.629559647514501, 1.204455297138345, 4.51631044906687, -9.413462461718815], [9.714795196202468, 3.079592445521325, 0.3314648493844046, 3.1518355719157567, 6.929731569795241, 2.7347464696145902, 2.1637142626263, 7.5650360628655395, 0.02457738073625097, 1.9827843350536123, 2.6216405156941867, 7.299833227315946, 4.209944262800091, 2.9234729680233693, -8.462436199041175], [8.867063506391414, 5.888359911508101, 2.2590124212396177, 2.3800373807125945, 7.458139946366522, 4.923141557491857, 2.6394905957981334, 8.019292820941773, 0.16676000519045628, 1.9162500709660457, 2.9875735630154034, 7.949631702574091, 3.0298951451261327, 3.7421177602916056, -8.409843757087787], [12.422981809321227, 4.7365213353929985, 4.354315392039746, 3.758874399252403, 5.337836352065164, 2.957926065562893, 0.6511570727643521, 6.751612427056709, 2.4408769844436065, 0.030238066771145083, 1.626716320030406, 13.58431972609026, 1.3125082300906976, 5.350209474645111, -8.312873676675563], [8.839801381924373, 2.2879024712580738, 0.6853473396309713, 1.9382589438733135, 6.118767144876537, 1.337327105958589, 5.514590932305119, 11.30051682090729, -0.7035642707974066, -0.5938707138211712, 2.290966204639344, 9.641933347816199, 4.013243365880964, 6.239780364516537, -8.130989425875018], [8.439169701583063, 0.8883801424136033, -0.7139766277358408, 2.8443888732150704, 2.9867732600254056, 4.452528354085772, -0.8334968677665151, 8.16959663766761, 0.7828568467827979, -1.641355963271597, 1.3977149424313633, 8.483634330474635, 1.305854767200546, 5.591015995764794, -8.071137701869803], [8.96690274441102, -1.607440180945122, -2.6790409535148494, 1.9622268748830078, 6.950734787143748, 2.297363990851905, 3.076227928816066, 12.339284756149405, 4.229079609492073, 0.5218303655214024, 0.37026300109258325, 10.072937012312257, 8.11858830600775, 8.766788267912181, -8.410974241547267]]","[1299.3311907598545, 1384.2016816201576, 2199.9404817081795, 581.6126902342749, 1755.7033357414984, 1816.704795723006, 1926.9140384080492, 2131.590348848633, 2202.441096170949, 1816.3015690163138]","[1.4239537876951531, 1.197973734535241, 2.2046509995699073, 1.7833327705113202, 1.6869087976816555, 1.6023826494180937, 2.0587998685141238, 1.525494315310363, 2.301002104209596, 2.5309542608822535]",1711.4741228230916,1.8315453288327705,477.50752545064836,0.40464623419295315,2.044170308113098
