,y_obs
216,9.887669902935258e-14
217,9.884215347296856e-14
218,9.881146385992693e-14
219,9.878411900855454e-14
220,9.875972497466966e-14
221,9.873804817097995e-14
222,9.871876064259129e-14
223,9.87016032048757e-14
224,9.868633874417332e-14
225,9.867276036218358e-14
226,9.866068543453727e-14
227,9.864994814606465e-14
228,9.864039063354128e-14
229,9.863189653022559e-14
230,9.862433853994053e-14
231,9.861761037021562e-14
232,9.861162690575929e-14
233,9.860630080256691e-14
234,9.860156117482282e-14
235,9.859734457095011e-14
236,9.859359283027851e-14
237,9.859025995688609e-14
238,9.858729885235285e-14
239,9.858466704102584e-14
240,9.858232359495061e-14
241,9.858024723869247e-14
242,9.857841572374517e-14
243,9.857679057177362e-14
244,9.857534008951544e-14
245,9.857403511125457e-14
246,9.857290290738616e-14
247,9.857189758159935e-14
248,9.857099825554844e-14
249,9.857018258992528e-14
250,8.569968914356984e-11
251,7.495700281240693e-11
252,6.543506236865752e-11
253,5.7791350584513647e-11
254,5.1536499293593e-11
255,4.632930047611309e-11
256,4.192943939725884e-11
257,3.8163166617639045e-11
258,3.490504858761865e-11
259,3.205833111779608e-11
260,2.9550138937807715e-11
261,2.7324811070613537e-11
262,2.5337880602807442e-11
263,2.355375317476552e-11
264,2.1943691520166853e-11
265,2.0484247407849523e-11
266,1.915639208197606e-11
267,1.7944042698687157e-11
268,1.6832165286649345e-11
269,1.581127213249567e-11
270,1.486862040814163e-11
271,1.3999719733362453e-11
272,1.3194832521344324e-11
273,1.2448167095336698e-11
274,1.1754139705535898e-11
275,1.1108008145557135e-11
276,1.0505370422196316e-11
277,9.94259207570504e-12
278,9.416158045636005e-12
279,8.922820870063918e-12
280,8.459418442230702e-12
281,8.027634744073813e-12
282,7.619052646036155e-12
283,7.236061521270728e-12
284,6.874956587129878e-12
285,6.534819765867348e-12
286,6.2140742550466855e-12
287,5.9113839126771144e-12
288,5.6255309263192015e-12
289,5.355397300762379e-12
290,5.099941549457679e-12
291,4.858247018678437e-12
292,4.6294447319925e-12
293,4.412658576224534e-12
294,4.207339138926223e-12
295,4.0126194826200856e-12
296,3.827899407174286e-12
297,3.6526277157361756e-12
298,3.4862415811337357e-12
299,3.3282346042044533e-12
300,3.1781077719009194e-12
301,3.0354524971944487e-12
302,2.8998314626881188e-12
303,2.770862658932357e-12
304,2.6482168295296277e-12
305,2.5314196919349967e-12
306,2.420524755469462e-12
307,2.3146785115646776e-12
308,2.2143517381593025e-12
309,2.117507132995561e-12
310,2.0277307411790634e-12
311,1.939188535444892e-12
312,1.8567383239673202e-12
313,1.7776731185523622e-12
314,1.7023009601164694e-12
315,1.6304472107337226e-12
316,1.5619266750893627e-12
317,1.4965628508363096e-12
318,1.4342095256476496e-12
319,1.3747306973993776e-12
320,1.3179767908730175e-12
321,1.2638130838804655e-12
322,1.2121223199269516e-12
323,1.162780917642729e-12
324,1.1156811408987523e-12
325,1.0707143598825187e-12
326,1.0277850446325916e-12
327,9.867792019523075e-13
328,9.476224545141812e-13
329,9.102364530092925e-13
330,8.745196545261927e-13
331,8.404035462804603e-13
332,8.078137415418668e-13
333,7.766815196261587e-13
334,7.469380708455704e-13
335,7.18517013889389e-13
336,6.913575441207357e-13
337,6.65405148981948e-13
338,6.406036696980217e-13
339,6.169022199365908e-13
340,5.94250275572841e-13
341,5.725986415688093e-13
