,y_obs
274,2.8049831837913622e-12
275,2.6455361102664175e-12
276,2.331183929412468e-12
277,2.1852083830104627e-12
278,1.983723719546926e-12
279,1.7551661065703068e-12
280,1.5824921158780665e-12
281,1.4560299508569615e-12
282,1.1275890340907144e-12
283,1.4061604054495595e-12
284,1.1529982113526777e-12
285,1.0218529401408923e-12
286,8.355903311599015e-13
287,1.0602923149953186e-12
288,7.722472368467524e-13
289,7.296687279256278e-13
290,7.169172653941411e-13
291,7.039544894938323e-13
292,5.014308843724521e-13
293,6.280435277506233e-13
294,4.820021494748494e-13
295,5.732681791044486e-13
296,3.973884474242867e-13
297,3.325634765343086e-13
298,1.8297939474452923e-13
299,2.7826877082277914e-13
300,3.371416014534633e-13
301,3.319507077750881e-13
302,2.1741954182022306e-13
303,4.831370379908026e-13
304,2.6928964684610477e-14
305,1.7503295230248493e-13
306,3.1231507651648915e-13
307,2.144207000016961e-13
308,1.5936210685418435e-13
309,-4.467703452271043e-14
310,-3.0180244074656874e-11
311,-3.3653250328298495e-11
312,-3.1067663899799197e-11
313,-2.8533990918009952e-11
314,-2.6284972999517363e-11
315,-2.4073241737334475e-11
316,-2.1833646489745273e-11
317,-1.9939244975986464e-11
318,-1.8141974534145357e-11
319,-1.6436763788541858e-11
320,-1.463147276507416e-11
321,-1.3158556886481003e-11
322,-1.1829314877714576e-11
323,-1.0650570782954254e-11
324,-9.621591989212824e-12
325,-8.556675254775235e-12
326,-7.411331297591482e-12
327,-6.7573483860175695e-12
328,-5.951540089155924e-12
329,-5.4010752982285345e-12
330,-4.741921347491582e-12
331,-4.1975550967584445e-12
332,-3.74066887178376e-12
333,-3.3255754084568428e-12
334,-2.9601084394559816e-12
335,-2.579391163124923e-12
336,-2.1685432120705683e-12
337,-2.043429347520421e-12
338,-1.7923053305690256e-12
339,-1.5531701853613436e-12
340,-1.3846604483077205e-12
341,-1.191201981738103e-12
342,-1.0433407517394365e-12
343,-9.914227174110914e-13
344,-9.674885171960058e-13
345,-7.64741252760128e-13
346,-7.556317967689254e-13
347,-5.511048961962105e-13
348,-4.807021576506215e-13
349,-5.600485723563439e-13
350,-4.506304343035177e-13
351,-2.101789122684561e-13
