,y_obs
121,1.366469640881453e-13
122,-9.292820726976328e-14
123,2.2572258507400887e-14
124,-5.065465385490822e-14
125,1.417695138548902e-11
126,1.2491724826697118e-11
127,1.0912823213247485e-11
128,9.697462387939453e-12
129,8.301568157051843e-12
130,7.447311464580972e-12
131,6.4802126886636576e-12
132,5.666805245572278e-12
133,4.948292026878126e-12
134,4.349031042230843e-12
135,3.8052319111047024e-12
136,3.663849404217386e-12
137,3.170628954771175e-12
138,2.992588046033242e-12
139,2.5619963406229066e-12
140,2.3232139735477944e-12
141,1.8086651808199235e-12
142,1.8210969002615585e-12
143,1.509554754008787e-12
144,1.372679110969587e-12
145,1.2586475607704842e-12
146,1.106390353471679e-12
147,1.0322255136389358e-12
148,8.171169653990564e-13
149,8.934421034362328e-13
150,7.673648699486019e-13
151,8.699797046430684e-13
152,6.833783986941881e-13
153,3.7758348599558373e-13
154,4.902065498976559e-13
155,4.3161212699020355e-13
156,3.8211734175258735e-13
157,2.250032950331653e-13
158,3.3991798973513656e-13
159,2.885735825317369e-13
160,4.648642456930891e-13
161,2.5722560816675135e-13
162,2.7892972144096817e-13
163,3.3789139132182245e-13
164,3.4845788989122734e-13
165,2.484985128465782e-13
166,2.007432146559103e-13
167,1.2520711698067393e-13
168,1.5960766118183241e-13
169,2.050852493691026e-13
170,1.6193767818214373e-13
171,2.3675769302024785e-13
172,5.249909720445401e-14
173,-5.712447524365232e-14
174,1.420229420540171e-13
175,1.2177977833559197e-13
176,-8.63713048033627e-14
177,-7.637598484162451e-14
178,-3.258445343389445e-14
179,1.453524625365936e-13
180,-1.406549855277501e-13
181,4.017194910339558e-14
182,7.242616964263013e-14
183,-1.9813277719097293e-14
184,1.556028158169994e-13
185,-2.861659052366615e-14
186,-1.0454278068573697e-13
187,2.3127013911174276e-13
188,1.1248752374647686e-14
189,-1.0536722844018323e-13
190,-9.740912933080097e-14
191,-1.4032046295584886e-13
192,1.503376386676718e-14
193,-7.697825027890387e-14
194,-5.2635671657336354e-14
195,-1.1975770361062319e-14
196,1.07874724847183e-13
197,-8.955228635247456e-14
198,3.776069247060023e-14
199,-5.422346276139796e-14
200,7.325559235814021e-14
201,1.0469058689085665e-14
202,-2.605381746015659e-13
203,-3.4018902386146244e-14
204,-3.458977158090966e-15
205,-4.1470651992027155e-14
206,2.9342605708610144e-14
207,-2.8678037675011717e-15
208,-8.191954532336521e-14
209,-4.349258123284303e-14
210,2.1726263363604196e-13
211,-5.445258479220372e-14
212,1.0498491202159876e-13
213,-2.1050115141968043e-13
214,1.6415000307139887e-14
215,6.249217424045442e-14
216,1.2710310564731639e-13
217,-3.6727532029472166e-14
218,-6.568830896526732e-15
219,3.054534528687803e-14
220,-6.113655642816335e-14
221,1.0778773074896209e-13
222,1.898338623808248e-14
223,-1.8707674570726502e-13
224,-1.6100502069565737e-14
225,4.2008678546797334e-14
226,7.00638481219667e-14
227,4.034848552693987e-14
228,-2.6715077631584676e-14
229,1.604852045482483e-13
230,-1.3253022656871041e-13
231,1.910282012743311e-13
232,2.8838282771013413e-14
233,6.564726588126919e-14
234,-5.2970428143946434e-14
235,-3.548224932355462e-14
236,-8.435824886039941e-14
237,-2.281188639052747e-13
238,2.173254150810011e-13
239,-1.2632194444189777e-14
240,-3.128055161808303e-13
241,-1.4941622342645716e-13
242,-4.990438709124337e-14
243,9.28099459058578e-14
244,2.6785233022883557e-14
245,1.7035631497619748e-14
246,-6.373685801611139e-14
247,-9.021434958763646e-14
248,1.9224338718792638e-13
249,1.0333517557995046e-13
250,7.723406979085931e-11
251,6.817779652133103e-11
252,5.96995406355299e-11
253,5.269649345255708e-11
254,4.720000548402462e-11
255,4.2551910536028316e-11
256,3.842014163006753e-11
257,3.5131363718128866e-11
258,3.202301075748404e-11
259,2.9565004707251876e-11
260,2.7512865341867996e-11
261,2.5252981682499213e-11
262,2.334574526890017e-11
263,2.191633925254022e-11
264,2.055200773109529e-11
265,1.905388649943843e-11
266,1.779122699263098e-11
267,1.670396359929456e-11
268,1.564213244873383e-11
269,1.4740808181627062e-11
270,1.3909440804581622e-11
271,1.3092000565709392e-11
272,1.248682082271023e-11
273,1.1645160690551466e-11
274,1.1223294749661373e-11
275,1.0507726735010407e-11
276,9.97808941773795e-12
277,9.368719780629958e-12
278,8.775321243332097e-12
279,8.34916042839534e-12
280,7.844760610286471e-12
281,7.540794180550065e-12
282,7.302368659282668e-12
283,6.761361926614809e-12
284,6.572047093576745e-12
285,6.35865421380647e-12
286,5.99144955755475e-12
287,5.517590323487161e-12
288,5.5030457584210694e-12
289,5.153830255478047e-12
290,4.787165262579093e-12
291,4.738939765624599e-12
292,4.535733319795849e-12
293,4.254383612840564e-12
294,3.988430097068322e-12
295,3.818130810400524e-12
296,3.723189094199718e-12
297,3.4248878183872075e-12
298,3.2598757928034815e-12
299,3.4362422118119497e-12
300,3.0828423936297092e-12
301,2.984001893860108e-12
302,2.956167112377e-12
303,2.8066815248101705e-12
304,2.5565011312797715e-12
305,2.4290528476666952e-12
306,2.370840196144231e-12
307,2.3568786288572837e-12
308,2.1895117385732364e-12
309,1.948300819178651e-12
310,2.0057235950541483e-12
311,1.9448460129846405e-12
312,1.8654912658509384e-12
313,1.729796672249498e-12
314,1.6931431983378396e-12
315,1.7128176282070869e-12
316,1.4169793140161032e-12
317,1.513124128727569e-12
318,1.2995819337932323e-12
319,1.2209957166463629e-12
320,1.404188014395127e-12
321,1.2235472668448128e-12
322,1.2933195878956954e-12
323,1.07760482224962e-12
324,1.0289589949357377e-12
325,1.1126490519996194e-12
326,7.964726836846993e-13
327,7.566103868980683e-13
328,5.933759311056862e-13
329,9.426688008981394e-13
330,7.487088350381104e-13
331,6.212374281667822e-13
332,4.95648612525623e-13
333,7.060657860018716e-13
334,8.437335593727755e-13
335,6.328997248024212e-13
336,7.379361434807183e-13
337,6.444304942778911e-13
338,6.059668920963073e-13
339,4.933405640426991e-13
340,5.722151518512052e-13
341,4.02960296458482e-13
342,3.042797510176909e-13
343,4.734370342158432e-13
344,4.1940068509384187e-13
345,3.476423440467612e-13
346,4.852608095814887e-13
347,3.0439022899919764e-13
348,5.752468672102675e-13
349,3.3930464870213967e-13
350,2.8401403445230587e-13
351,3.855273992519764e-13
352,3.620187648813517e-13
353,2.905032942856173e-13
354,1.6004234058914894e-13
355,2.0048428441123527e-13
356,1.9839401484960978e-13
357,1.9541104747502923e-14
358,4.253947445038724e-13
359,3.6167967501737154e-13
360,3.678413682660547e-13
361,3.773405289367049e-13
362,1.7993476104963828e-13
363,1.0565972862507811e-13
364,2.1737362951956718e-13
365,2.70523241307632e-13
366,2.158543984610081e-13
367,1.2023997245469501e-13
368,2.5834789489771446e-13
369,1.2593271636513674e-13
370,1.927159979831432e-13
371,1.3066259309322784e-13
372,1.9363952000731382e-13
373,9.18428966388211e-14
374,3.88728916326495e-14
375,-5.3983639272644667e-11
376,-5.43374895228473e-11
377,-5.248565311827992e-11
378,-5.098583518645846e-11
379,-4.897958704994602e-11
380,-4.717206442641131e-11
381,-4.523172518463281e-11
382,-4.329708183426739e-11
383,-4.110110428446405e-11
384,-3.928602192164027e-11
385,-3.724874739776948e-11
386,-3.501255047170989e-11
387,-3.3290715378153826e-11
388,-3.115931250194967e-11
389,-2.9241473876446945e-11
390,-2.717881560283197e-11
391,-2.5541028580808792e-11
392,-2.3570941862482176e-11
393,-2.1903694341671424e-11
394,-2.0183799757961926e-11
395,-1.8369525440118635e-11
396,-1.6933922502642424e-11
397,-1.5420550720061354e-11
398,-1.4379340882276331e-11
399,-1.2837706131251905e-11
400,-1.1810186099790158e-11
401,-1.0560930115613715e-11
402,-9.75958646062298e-12
403,-8.62819406213888e-12
404,-7.79782746502573e-12
405,-6.921854717313784e-12
406,-6.2804180912487326e-12
407,-5.601842752488874e-12
408,-5.145562777973138e-12
409,-4.5854019979763274e-12
410,-4.250061990850992e-12
411,-3.4893609353180822e-12
412,-3.329756288560965e-12
413,-3.0783071381490524e-12
414,-2.742916750546164e-12
415,-2.5190340894855174e-12
416,-2.1309121303169533e-12
417,-1.846315360102454e-12
418,-1.632134339697816e-12
419,-1.5981486578611823e-12
420,-1.2420828852917137e-12
421,-1.2757013529164636e-12
422,-1.2159515986702213e-12
423,-1.0966450327730155e-12
424,-9.20474794225295e-13
425,-6.264951584741803e-13
426,-6.55999806287082e-13
427,-7.217689723608498e-13
428,-6.855347532870158e-13
429,-3.9261206320687254e-13
430,-5.18660965291999e-13
431,-4.747447034402684e-13
432,-6.71511306117206e-13
433,-4.801246519379627e-13
434,-2.472290306307928e-13
435,-4.614232043512601e-13
436,-2.7232892526476065e-13
437,-8.975350873343664e-14
438,-1.5868945494747987e-13
439,-2.2641198231650246e-15
440,-1.963482669055825e-13
441,-1.673921833160712e-13
442,-3.740487792518822e-13
443,-4.295350055848629e-14
444,-2.5532974309492563e-14
445,-1.0901483502656453e-13
446,-1.2930718972264675e-13
447,7.185737291496205e-15
448,7.800580904649408e-14
449,-7.584318252713241e-14
450,-2.8346079848578944e-14
451,-2.541594220332633e-13
452,-1.559559558100511e-13
453,-2.8040944046267326e-14
454,8.062665956147732e-14
455,-1.7978994164641747e-14
456,-1.0072707171684488e-13
457,-1.5039860203345513e-14
458,-7.190807989500689e-14
459,-6.766623197786575e-14
460,1.0867010737409457e-14
461,-7.879416929551886e-14
462,-2.557443261383113e-15
463,7.257695766292399e-14
464,3.6380439079929e-14
465,-1.2555568465516579e-13
466,1.65304624564465e-14
467,1.0272015311722595e-13
468,4.6366363147182387e-14
469,-8.636736564721443e-14
470,9.70594247631522e-14
471,8.828483868649748e-14
472,-7.493288649487881e-14
473,-2.373812442560881e-16
474,-2.2062852314857178e-13
475,-7.942025314147627e-15
476,1.1537798112978237e-13
477,-4.8123828792062456e-14
478,-4.8421747582145185e-14
479,-9.051608460741898e-14
480,-4.4607456343210474e-14
481,1.4387528437934446e-13
482,3.1421572784768574e-14
483,-1.2525697136299056e-13
484,1.4380039807754866e-13
485,-1.5174245419679868e-13
486,-2.481315254968045e-14
487,1.519564135238739e-13
488,3.579852537737577e-14
489,8.018092029988265e-14
490,2.0934393722299122e-13
491,1.4397648371744735e-13
492,-5.238922399571634e-14
493,-1.316635318537845e-13
494,-2.3373776478214677e-13
495,-1.5592489902453578e-13
496,-4.975726782789494e-14
497,1.496371271387493e-13
498,-5.678731474907248e-14
499,-6.502980329041979e-14
