,t,OF,OF_Hb,IF_Hb,S_in,IF_Hb_Sb,H_in,IF_Sb,OF_Sb,IF,OF_Hb_Sb
12,0.01200080005333689,4.957790039655799e-09,4.978165244827923e-09,4.739998367923055e-09,0.0009999732411805839,4.739823214100356e-08,1.0769058727580322e-07,4.423496316897711e-08,4.951085103756869e-08,2.125e-08,2.125e-08
13,0.013000866724448298,4.914507110949263e-09,4.935169411775015e-09,4.7618377739130275e-09,0.000999973242313077,4.7619932113646156e-08,1.0746775481004295e-07,4.450429035357863e-08,4.908426323610062e-08,2.125e-08,2.125e-08
14,0.014000933395559705,4.877206461800153e-09,4.898653466218091e-09,4.78058488215537e-09,0.000999973246447149,4.781010338220374e-08,1.0727344946950316e-07,4.473740234614747e-08,4.871604946145956e-08,2.125e-08,2.125e-08
15,0.015001000066671114,4.845061983734736e-09,4.8672616070066934e-09,4.79666507453035e-09,0.0009999732531128657,4.797317584220218e-08,1.0710371129291816e-07,4.493919578064485e-08,4.8398639711885204e-08,2.125e-08,2.125e-08
16,0.01600106673778252,4.8173717164891494e-09,4.84009769142085e-09,4.8104429432600855e-09,0.0009999732619376546,4.811289450021489e-08,1.069551678458353e-07,4.511386567789627e-08,4.812532747073505e-08,2.125e-08,2.125e-08
17,0.017001133408893927,4.793521368737361e-09,4.816347942393451e-09,4.822233597862103e-09,0.0009999732725898779,4.8232519449820766e-08,1.0682489067320526e-07,4.526509486676369e-08,4.7890282774440316e-08,2.125e-08,2.125e-08
18,0.018001200080005334,4.772981051694344e-09,4.795742008053412e-09,4.8323199742496195e-09,0.000999973284831823,4.833487678665155e-08,1.0671029139120582e-07,4.5396063395585776e-08,4.768801678377991e-08,2.125e-08,2.125e-08
19,0.019001266751116744,4.755294099618752e-09,4.7779165973789605e-09,4.8409417760783525e-09,0.0009999732984441805,4.842238602814241e-08,1.0660916979205779e-07,4.550952494275923e-08,4.7513936556032466e-08,2.125e-08,2.125e-08
20,0.02000133342222815,4.74007270281014e-09,4.76265971774576e-09,4.848303687879561e-09,0.000999973313250925,4.8497097234455234e-08,1.0651965184125546e-07,4.5607824361197385e-08,4.7364042295920926e-08,2.125e-08,2.125e-08
21,0.021001400093339558,4.726976507716406e-09,4.749572011775921e-09,4.854580735855113e-09,0.0009999733290746247,4.8560796383849525e-08,1.064401289921569e-07,4.569303208570806e-08,4.723504227510478e-08,2.125e-08,2.125e-08
22,0.022001466764450965,4.715711342317407e-09,4.738332873441735e-09,4.8599242111067055e-09,0.0009999733457642067,4.861502090377071e-08,1.0636921489022995e-07,4.576694635907573e-08,4.7124064310299297e-08,2.125e-08,2.125e-08
23,0.023001533435562372,4.706022607216949e-09,4.7286659333953186e-09,4.864464919132505e-09,0.0009999733631891725,4.8661100547164544e-08,1.063057102813175e-07,4.5831124183786914e-08,4.702862180931744e-08,2.125e-08,2.125e-08
